"company_name_storage","company_id_storage","company_type_storage","naics_code_storage","naics_code_description_storage","chemical_name_storage","hazardous_ingredient_storage","average_amount_storage","maximum_amount_storage","storage_method_storage","hazardous_class_description_storage","in_storage","key","address"
"ESCO CORPORATION",3222,"STEEL PRODUCTS MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","BLACK CAST 3105","IRON OXIDE","10,000-49,999","50,000-99,999","BAG","Chronic Health Hazard",1,"onsite_storage_3222","2211 NW BREWER ST, PORTLAND, OR 97210"
"ESCO CORPORATION",3222,"STEEL PRODUCTS MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","STEEL ALLOYS","IRON","50,000-99,999","100,000-249,999","STEEL DRUM","Reactive Material",1,"onsite_storage_3222","2211 NW BREWER ST, PORTLAND, OR 97210"
"ESCO CORPORATION",3222,"STEEL PRODUCTS MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","CARBON RAISERS","PURIFIED CARBON","10,000-49,999","50,000-99,999","BAG","Chronic Health Hazard",1,"onsite_storage_3222","2211 NW BREWER ST, PORTLAND, OR 97210"
"HERTZ CORP",21052,"EQUIPMENT RENTAL",532412,"CONST, MINING, & FORESTRY MACHINERY & EQP","USED LUBE OIL","HYDROCARBON BASED OILS","200-499","500-999","ABOVEGROUND TANK","Combustible Material",1,"onsite_storage_21052","4939 NE COLUMBIA BLVD, PORTLAND, OR 97218"
"DANNER SHOE MFG CO",2359,"SHOE MFG",316213,"MEN'S FOOTWEAR (EXC ATHLETIC) MFG","2406 URETHANE ADHESIVE","ACETONE","500-999","500-999","CAN","Flammable and Combustible Liquid",1,"onsite_storage_2359","18201 NE PORTAL WAY STE 101, PORTLAND, OR 97230"
"DANNER SHOE MFG CO",2359,"SHOE MFG",316213,"MEN'S FOOTWEAR (EXC ATHLETIC) MFG","DB-3020","ACETONE","200-499","500-999","PLASTIC OR NON-METALLIC DRUM","Flammable and Combustible Liquid",1,"onsite_storage_2359","18201 NE PORTAL WAY STE 101, PORTLAND, OR 97230"
"AMERIFLIGHT LLC",33443,"AIR CARGO",481212,"NONSCHEDULED CHARTERED FREIGHT AIR TRANS","AVGAS","KEROSENE","5,000-9,999","10,000-49,999","ABOVEGROUND TANK","Flammable and Combustible Liquid",1,"onsite_storage_33443","8580 NE 47TH AVE, PORTLAND, OR 97218"
"ROCKWOOD WATER PUD",33717,"WATER DISTRIBUTION",221310,"WATER SUPPLY & IRRIGATION SYSTEMS","AMMONIUM HYDROXIDE","AMMONIA","1,000-4,999","5,000-9,999","TANK INSIDE BUILDING","Corrosive Material",1,"onsite_storage_33717","19601 NE HALSEY, PORTLAND, OR 97230"
"ROCKWOOD WATER PUD",33717,"WATER DISTRIBUTION",221310,"WATER SUPPLY & IRRIGATION SYSTEMS","BLEACH","SODIUM HYPOCHLORITE","5,000-9,999","5,000-9,999","TANK INSIDE BUILDING","Oxidizers",1,"onsite_storage_33717","19601 NE HALSEY, PORTLAND, OR 97230"
"OHSU",21057,"UNIVERSITY RESEARCH HOSPITAL",611310,"COLLEGES, UNIVERSITIES, & PROFESSIONAL SC","SNAPSHOT","ORYZALIN","200-499","500-999","BAG","Acute Health Hazard",1,"onsite_storage_21057","3181 SW SAM JACKSON PK RD, PORTLAND, OR 97239"
"OHSU",21057,"UNIVERSITY RESEARCH HOSPITAL",611310,"COLLEGES, UNIVERSITIES, & PROFESSIONAL SC","DRY WALK","CALCIUM CHLORIDE","1,000-4,999","1,000-4,999","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard",1,"onsite_storage_21057","3181 SW SAM JACKSON PK RD, PORTLAND, OR 97239"
"WIDMER BROTHERS BREWING CO",65511,"BREWERY",312120,"BREWERIES","EXCEL APA","SODIUM HYDROXIDE","200-499","500-999","STEEL DRUM","Acute Health Hazard",1,"onsite_storage_65511","1 N CENTER CT, PORTLAND, OR 97208"
"BUSHWACKER INC",3221,"AUTO ACCESSORIES MFG VACUUM FORMED PLASTIC PARTS",326199,"ALL OTHER PLASTICS PRODUCT MFG","POLYETHYLENE","POLYETHYLENE","500-999","500-999","OTHER","Miscellaneous Hazardous Material",1,"onsite_storage_3221","6710 N CATLIN ST, PORTLAND, OR 97203"
"BUSHWACKER INC",3221,"AUTO ACCESSORIES MFG VACUUM FORMED PLASTIC PARTS",326199,"ALL OTHER PLASTICS PRODUCT MFG","REN LAM 8169 RESIN","BISPHENOL A DIGLYCIDYL ETHER","200-499","500-999","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard",1,"onsite_storage_3221","6710 N CATLIN ST, PORTLAND, OR 97203"
"BUSHWACKER INC",3221,"AUTO ACCESSORIES MFG VACUUM FORMED PLASTIC PARTS",326199,"ALL OTHER PLASTICS PRODUCT MFG","TPO (ETA-4161) PLASTIC SHEET","POLYPROPYLENE","1,000-4,999","10,000-49,999","OTHER","Combustible Material",1,"onsite_storage_3221","6710 N CATLIN ST, PORTLAND, OR 97203"
"BUSHWACKER INC",3221,"AUTO ACCESSORIES MFG VACUUM FORMED PLASTIC PARTS",326199,"ALL OTHER PLASTICS PRODUCT MFG","REN 132 HARDENER","AMINE BASED TETROL","500-999","500-999","CAN","Acute Health Hazard",1,"onsite_storage_3221","6710 N CATLIN ST, PORTLAND, OR 97203"
"BUSHWACKER INC",3221,"AUTO ACCESSORIES MFG VACUUM FORMED PLASTIC PARTS",326199,"ALL OTHER PLASTICS PRODUCT MFG","REN 132 RESIN","1,1-METHYLENEBIS[4-ISOCYANATO-BENZENE","500-999","500-999","CAN","Acute Health Hazard",1,"onsite_storage_3221","6710 N CATLIN ST, PORTLAND, OR 97203"
"BUSHWACKER INC",3221,"AUTO ACCESSORIES MFG VACUUM FORMED PLASTIC PARTS",326199,"ALL OTHER PLASTICS PRODUCT MFG","ATA 5238AL SPHERICAL POWDER","ALUMINUM","1,000-4,999","1,000-4,999","BAG","Dangerous When Wet",1,"onsite_storage_3221","6710 N CATLIN ST, PORTLAND, OR 97203"
"BUSHWACKER INC",3221,"AUTO ACCESSORIES MFG VACUUM FORMED PLASTIC PARTS",326199,"ALL OTHER PLASTICS PRODUCT MFG","ABS PLASTIC","STYRENE-ACRYLONITRILE-BUTADIENE COPOLYME","10,000-49,999","2,500,000-4,999,999","OTHER","Acute Health Hazard",1,"onsite_storage_3221","6710 N CATLIN ST, PORTLAND, OR 97203"
"DEGESCH AMERICA INC",21363,"PESTICIDE SALES - APPLICATION",561710,"EXTERMINATING & PEST CONTROL SVCS","FUMITOXIN PELLETS","ALUMINUM PHOSPHIDE","50,000-99,999","100,000-249,999","CAN","Poisonous Material",1,"onsite_storage_21363","14024 NE AIRPORT WAY, PORTLAND, OR 97230"
"DEGESCH AMERICA INC",21363,"PESTICIDE SALES - APPLICATION",561710,"EXTERMINATING & PEST CONTROL SVCS","FUMITOXIN TABLETS","ALUMINUM PHOSPHIDE","10,000-49,999","10,000-49,999","CAN","Poisonous Material",1,"onsite_storage_21363","14024 NE AIRPORT WAY, PORTLAND, OR 97230"
"DEGESCH AMERICA INC",21363,"PESTICIDE SALES - APPLICATION",561710,"EXTERMINATING & PEST CONTROL SVCS","PHOSTOXIN PELLETS","ALUMINUM PHOSPHIDE","500-999","1,000-4,999","CAN","Poisonous Material",1,"onsite_storage_21363","14024 NE AIRPORT WAY, PORTLAND, OR 97230"
"DEGESCH AMERICA INC",21363,"PESTICIDE SALES - APPLICATION",561710,"EXTERMINATING & PEST CONTROL SVCS","PHOSTOXIN TABLET PREPACS","ALUMINUM PHOSPHIDE","1,000-4,999","1,000-4,999","CAN","Poisonous Material",1,"onsite_storage_21363","14024 NE AIRPORT WAY, PORTLAND, OR 97230"
"DEGESCH AMERICA INC",21363,"PESTICIDE SALES - APPLICATION",561710,"EXTERMINATING & PEST CONTROL SVCS","PHOSTOXIN TABLET ROPE","ALUMINUM PHOSPHIDE","1,000-4,999","1,000-4,999","CAN","Poisonous Material",1,"onsite_storage_21363","14024 NE AIRPORT WAY, PORTLAND, OR 97230"
"DEGESCH AMERICA INC",21363,"PESTICIDE SALES - APPLICATION",561710,"EXTERMINATING & PEST CONTROL SVCS","PHOSTOXIN TABLETS","ALUMINUM PHOSPHIDE","0-4","1,000-4,999","CAN","Poisonous Material",1,"onsite_storage_21363","14024 NE AIRPORT WAY, PORTLAND, OR 97230"
"DEGESCH AMERICA INC",21363,"PESTICIDE SALES - APPLICATION",561710,"EXTERMINATING & PEST CONTROL SVCS","MAGTOXIN SPOT FUMIGANT","MAGNESIUM PHOSPHIDE","50-199","50-199","CAN","Poisonous Material",1,"onsite_storage_21363","14024 NE AIRPORT WAY, PORTLAND, OR 97230"
"DEGESCH AMERICA INC",21363,"PESTICIDE SALES - APPLICATION",561710,"EXTERMINATING & PEST CONTROL SVCS","DEGESCH FUMI-CELS","MAGNESIUM PHOSPHIDE","1,000-4,999","1,000-4,999","STEEL DRUM","Poisonous Material",1,"onsite_storage_21363","14024 NE AIRPORT WAY, PORTLAND, OR 97230"
"DEGESCH AMERICA INC",21363,"PESTICIDE SALES - APPLICATION",561710,"EXTERMINATING & PEST CONTROL SVCS","DEGESCH FUMI-STRIP","MAGNESIUM PHOSPHIDE","1,000-4,999","1,000-4,999","STEEL DRUM","Poisonous Material",1,"onsite_storage_21363","14024 NE AIRPORT WAY, PORTLAND, OR 97230"
"DEGESCH AMERICA INC",21363,"PESTICIDE SALES - APPLICATION",561710,"EXTERMINATING & PEST CONTROL SVCS","DETIA PELLETS","ALUMINUM PHOSPHIDE","500-999","1,000-4,999","CAN","Poisonous Material",1,"onsite_storage_21363","14024 NE AIRPORT WAY, PORTLAND, OR 97230"
"DEGESCH AMERICA INC",21363,"PESTICIDE SALES - APPLICATION",561710,"EXTERMINATING & PEST CONTROL SVCS","DETIA TABLETS","ALUMINUM PHOSPHIDE","500-999","1,000-4,999","CAN","Poisonous Material",1,"onsite_storage_21363","14024 NE AIRPORT WAY, PORTLAND, OR 97230"
"GALVANIZERS",68766,"GENERAL WHSE",493110,"GENERAL WAREHOUSING & STORAGE","ALUMINUM OXIDE","ALUMINUM OXIDE","1,000-4,999","1,000-4,999","FIBER DRUM","Miscellaneous Hazardous Material",1,"onsite_storage_68766","2429 NW 29TH BLDG 14, PORTLAND, OR 97210"
"GALVANIZERS",68766,"GENERAL WHSE",493110,"GENERAL WAREHOUSING & STORAGE","AMMONIUM CHLORIDE","AMMONIUM CHLORIDE","1,000-4,999","1,000-4,999","FIBER DRUM","Acute Health Hazard",1,"onsite_storage_68766","2429 NW 29TH BLDG 14, PORTLAND, OR 97210"
"GALVANIZERS",68766,"GENERAL WHSE",493110,"GENERAL WAREHOUSING & STORAGE","WASTE CHROME/LEAD SLUDGE","CHROME/LEAD","500-999","1,000-4,999","PLASTIC OR NON-METALLIC DRUM","Miscellaneous Hazardous Material",1,"onsite_storage_68766","2429 NW 29TH BLDG 14, PORTLAND, OR 97210"
"GALVANIZERS",68766,"GENERAL WHSE",493110,"GENERAL WAREHOUSING & STORAGE","ASHGROVE KEMLIME","CALCIUM HYDROXIDE","500-999","500-999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_68766","2429 NW 29TH BLDG 14, PORTLAND, OR 97210"
"GALVANIZERS",68766,"GENERAL WHSE",493110,"GENERAL WAREHOUSING & STORAGE","ZINC CHLORIDE ANHYDROUS","ZINC CHLORIDE","500-999","500-999","PLASTIC OR NON-METALLIC DRUM","Corrosive Material",1,"onsite_storage_68766","2429 NW 29TH BLDG 14, PORTLAND, OR 97210"
"GALVANIZERS",68766,"GENERAL WHSE",493110,"GENERAL WAREHOUSING & STORAGE","BARIUM CHLORIDE CRYSTAL","BARIUM CHLORIDE","200-499","1,000-4,999","BAG","Acute Health Hazard",1,"onsite_storage_68766","2429 NW 29TH BLDG 14, PORTLAND, OR 97210"
"GALVANIZERS",68766,"GENERAL WHSE",493110,"GENERAL WAREHOUSING & STORAGE","PREACT BG FLUX","ZINC CHLORIDE","10,000-49,999","10,000-49,999","BAG","Acute Health Hazard",1,"onsite_storage_68766","2429 NW 29TH BLDG 14, PORTLAND, OR 97210"
"GALVANIZERS",68766,"GENERAL WHSE",493110,"GENERAL WAREHOUSING & STORAGE","PREACT B6/ZACLON K","ZINC CHLORIDE","10,000-49,999","10,000-49,999","BAG","Corrosive Material",1,"onsite_storage_68766","2429 NW 29TH BLDG 14, PORTLAND, OR 97210"
"GALVANIZERS",68766,"GENERAL WHSE",493110,"GENERAL WAREHOUSING & STORAGE","ANTIBLAST","DODECYLBIS(2-HYDROXYETHYL","200-499","500-999","STEEL DRUM","Combustible Material",1,"onsite_storage_68766","2429 NW 29TH BLDG 14, PORTLAND, OR 97210"
"STENNO CARBON CO INC",2549,"MANUFACTURER",339944,"CARBON PAPER & INKED RIBBON MFG","PARAFFIN","MINERAL OIL","1,000-4,999","1,000-4,999","UNDERGROUND TANK","Combustible Material",1,"onsite_storage_2549","6600 N ST LOUIS AVE, PORTLAND, OR 97203"
"STENNO CARBON CO INC",2549,"MANUFACTURER",339944,"CARBON PAPER & INKED RIBBON MFG","BARIUM LITHOL RED TONER","PIGMENT RED 49:1","1,000-4,999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_2549","6600 N ST LOUIS AVE, PORTLAND, OR 97203"
"STENNO CARBON CO INC",2549,"MANUFACTURER",339944,"CARBON PAPER & INKED RIBBON MFG","CARBON BLACK","CARBON BLACK","5,000-9,999","10,000-49,999","BAG","Chronic Health Hazard",1,"onsite_storage_2549","6600 N ST LOUIS AVE, PORTLAND, OR 97203"
"BRIDGEPORT BREWING",89391,"BREWERY WHSE",312120,"BREWERIES","HARBORLITE","PERLITE","1,000-4,999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_89391","4468 NW YEON, PORTLAND, OR 97210"
"BRIDGEPORT BREWING",89391,"BREWERY WHSE",312120,"BREWERIES","CELLULOSE PB40 M","CELLULOSE","1,000-4,999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_89391","4468 NW YEON, PORTLAND, OR 97210"
"BRIDGEPORT BREWING",89391,"BREWERY WHSE",312120,"BREWERIES","CELITE","DIATOMACEOUS EARTH","500-999","500-999","BAG","Chronic Health Hazard",1,"onsite_storage_89391","4468 NW YEON, PORTLAND, OR 97210"
"BRIDGEPORT BREWING",89391,"BREWERY WHSE",312120,"BREWERIES","CERELOSE","CERELOSE","1,000-4,999","5,000-9,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_89391","4468 NW YEON, PORTLAND, OR 97210"
"GRESHAM SANITARY SERVICE",33837,"GARBAGE HAULING",562111,"SOLID WASTE COLLECTION","COMPRESSED GAS","COMPRESSED FLAMMABLE GAS","10,000-49,999","10,000-49,999","CYLINDER","Flammable Gas",1,"onsite_storage_33837","2131 NW BIRDSDALE AVE, GRESHAM, OR 97030"
"WILLAMETTE FENCE CO INC",70503,"COMMERCIAL CHAIN LINK FENCE INSTALLER  GATE FABRICATOR",238990,"ALL OTHER SPECIALTY TRADE CONTRACTORS","PORTLAND CEMENT","PORTLAND CEMENT","1,000-4,999","5,000-9,999","BAG","Acute Health Hazard",1,"onsite_storage_70503","11304 NE MARX, PORTLAND, OR 97220"
"WILLAMETTE FENCE CO INC",70503,"COMMERCIAL CHAIN LINK FENCE INSTALLER  GATE FABRICATOR",238990,"ALL OTHER SPECIALTY TRADE CONTRACTORS","QUIK-ROK","PLASTER OF PARIS","1,000-4,999","1,000-4,999","OTHER","Acute Health Hazard",1,"onsite_storage_70503","11304 NE MARX, PORTLAND, OR 97220"
"PURATOS CORPORATION",84184,"BAKERY SUPPLY DISTRIBUTION",424410,"GENERAL LINE GROCERY WHSLE","FLOUR","WHEAT","500,000-749,999","500,000-749,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_84184","15670 N LOMBARD, PORTLAND, OR 97203"
"PURATOS CORPORATION",84184,"BAKERY SUPPLY DISTRIBUTION",424410,"GENERAL LINE GROCERY WHSLE","SALT","SODIUM CHLORIDE","50,000-99,999","50,000-99,999","BAG","Acute Health Hazard",1,"onsite_storage_84184","15670 N LOMBARD, PORTLAND, OR 97203"
"PURATOS CORPORATION",84184,"BAKERY SUPPLY DISTRIBUTION",424410,"GENERAL LINE GROCERY WHSLE","SHORTENING","VEGETABLE TRIGLYCERIDES","10,000-49,999","10,000-49,999","BOX","Combustible Material",1,"onsite_storage_84184","15670 N LOMBARD, PORTLAND, OR 97203"
"PURATOS CORPORATION",84184,"BAKERY SUPPLY DISTRIBUTION",424410,"GENERAL LINE GROCERY WHSLE","VEGETABLE OIL","VEGETABLE OIL","5,000-9,999","10,000-49,999","PLASTIC BOTTLE, JUG, BUCKET","Combustible Material",1,"onsite_storage_84184","15670 N LOMBARD, PORTLAND, OR 97203"
"PURATOS CORPORATION",84184,"BAKERY SUPPLY DISTRIBUTION",424410,"GENERAL LINE GROCERY WHSLE","BAKING POWDER","DISODIUM PYROPHOSPHATE","1,000-4,999","5,000-9,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_84184","15670 N LOMBARD, PORTLAND, OR 97203"
"PURATOS CORPORATION",84184,"BAKERY SUPPLY DISTRIBUTION",424410,"GENERAL LINE GROCERY WHSLE","BAKING SODA","SODIUM BICARBONATE","500-999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_84184","15670 N LOMBARD, PORTLAND, OR 97203"
"PORT OF PORTLAND",21382,"MARINE CARGO TERMINAL",921190,"OTHER GENERAL GOV SUPPORT","ROAD SAVER SEALANT","ASPHALT","5,000-9,999","10,000-49,999","BOX","Combustible Material",1,"onsite_storage_21382","11040 N LOMBARD, PORTLAND, OR 97203"
"PORT OF PORTLAND",21382,"MARINE CARGO TERMINAL",921190,"OTHER GENERAL GOV SUPPORT","SALT COARSE GRANULAR","SODIUM CHLORIDE","500-999","500-999","BAG","Acute Health Hazard",1,"onsite_storage_21382","11040 N LOMBARD, PORTLAND, OR 97203"
"PORT OF PORTLAND",21382,"MARINE CARGO TERMINAL",921190,"OTHER GENERAL GOV SUPPORT","PEAK SF SOLID RUNWAY DEICER","SODIUM FORMATE","10,000-49,999","10,000-49,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_21382","11040 N LOMBARD, PORTLAND, OR 97203"
"CENTRAL GARDEN & PET CO",21383,"LAWN & GARDEN DISTRIBUTOR",444210,"OUTDOOR POWER EQP STORES","LIQUINOX START VITAMIN B1","ORTHOPHOSPHORIC ACID","10,000-49,999","100,000-249,999","PLASTIC BOTTLE, JUG, BUCKET","Acute Health Hazard",1,"onsite_storage_21383","15750 N LOMBARD ST STE 200, PORTLAND, OR 97203"
"CENTRAL GARDEN & PET CO",21383,"LAWN & GARDEN DISTRIBUTOR",444210,"OUTDOOR POWER EQP STORES","IMAGE BRUSH AND VINE KILLER","TRICLOPYR, TEA SALT","10,000-49,999","50,000-99,999","CAN","Acute Health Hazard",1,"onsite_storage_21383","15750 N LOMBARD ST STE 200, PORTLAND, OR 97203"
"CENTRAL GARDEN & PET CO",21383,"LAWN & GARDEN DISTRIBUTOR",444210,"OUTDOOR POWER EQP STORES","CORRYS MOSS B WARE","ZINC SULFATE MONOHYDRATE","50,000-99,999","750,000-999,999","FIBER DRUM","Acute Health Hazard",1,"onsite_storage_21383","15750 N LOMBARD ST STE 200, PORTLAND, OR 97203"
"CENTRAL GARDEN & PET CO",21383,"LAWN & GARDEN DISTRIBUTOR",444210,"OUTDOOR POWER EQP STORES","FERTILIZER ALASKA FISH","SULFURIC ACID","100,000-249,999","750,000-999,999","PLASTIC BOTTLE, JUG, BUCKET","Acute Health Hazard",1,"onsite_storage_21383","15750 N LOMBARD ST STE 200, PORTLAND, OR 97203"
"CENTRAL GARDEN & PET CO",21383,"LAWN & GARDEN DISTRIBUTOR",444210,"OUTDOOR POWER EQP STORES","BAYER ADVANCED BRUSH KILLER PLUS","TRICLOPYR, TRIETHYLAMINE SALT","1,000-4,999","5,000-9,999","PLASTIC BOTTLE, JUG, BUCKET","Acute Health Hazard",1,"onsite_storage_21383","15750 N LOMBARD ST STE 200, PORTLAND, OR 97203"
"CENTRAL GARDEN & PET CO",21383,"LAWN & GARDEN DISTRIBUTOR",444210,"OUTDOOR POWER EQP STORES","ALASKA MORBLOOM","PHOSPHORIC ACID","5,000-9,999","2,500,000-4,999,999","PLASTIC BOTTLE, JUG, BUCKET","Acute Health Hazard",1,"onsite_storage_21383","15750 N LOMBARD ST STE 200, PORTLAND, OR 97203"
"CENTRAL GARDEN & PET CO",21383,"LAWN & GARDEN DISTRIBUTOR",444210,"OUTDOOR POWER EQP STORES","BIODIVERSITY FANCY FISH","SULFURIC ACID","5,000-9,999","5,000-9,999","PLASTIC BOTTLE, JUG, BUCKET","Corrosive Material",1,"onsite_storage_21383","15750 N LOMBARD ST STE 200, PORTLAND, OR 97203"
"CENTRAL GARDEN & PET CO",21383,"LAWN & GARDEN DISTRIBUTOR",444210,"OUTDOOR POWER EQP STORES","ERASER WEED AND GRASS KILLER CONC","ISOPROPYLAMINE SALT OF GLYPHOSATE","5,000-9,999","10,000-49,999","PLASTIC BOTTLE, JUG, BUCKET","Acute Health Hazard",1,"onsite_storage_21383","15750 N LOMBARD ST STE 200, PORTLAND, OR 97203"
"CENTRAL GARDEN & PET CO",21383,"LAWN & GARDEN DISTRIBUTOR",444210,"OUTDOOR POWER EQP STORES","JUST ONE BITE","BROMADIOLONE","1,000-4,999","5,000-9,999","BOX","Acute Health Hazard",1,"onsite_storage_21383","15750 N LOMBARD ST STE 200, PORTLAND, OR 97203"
"CENTRAL GARDEN & PET CO",21383,"LAWN & GARDEN DISTRIBUTOR",444210,"OUTDOOR POWER EQP STORES","CASORON","2,6-DICHLOROBENZONITRILE","50,000-99,999","750,000-999,999","BAG","Acute Health Hazard",1,"onsite_storage_21383","15750 N LOMBARD ST STE 200, PORTLAND, OR 97203"
"LANDMARK EQUIPMENT",22917,"FORKLIFT & CONSTRUCTION EQUIPMENT",423830,"IND MACHINERY & EQP WHSLE","WASTE OIL BURNER","WASTE OIL","500-999","1,000-4,999","ABOVEGROUND TANK","Combustible Material",1,"onsite_storage_22917","7625 NE KILLINGSWORTH ST, PORTLAND, OR 97218"
"HD SUPPLY CONSTRUCTION LTD",106175,"WHSLE OF CONSTRUCTION SUPPLIES",444190,"OTHER BLDG MATERIAL DEALERS","MORTARS AND GROUTS","PORTLAND CEMENT","100,000-249,999","100,000-249,999","BAG","Chronic Health Hazard",1,"onsite_storage_106175","920 NE 58TH AVE STE 900, PORTLAND, OR 97213"
"HD SUPPLY CONSTRUCTION LTD",106175,"WHSLE OF CONSTRUCTION SUPPLIES",444190,"OTHER BLDG MATERIAL DEALERS","PARAGRANULAR","BETONITE","1,000-4,999","1,000-4,999","BAG","Acute Health Hazard",1,"onsite_storage_106175","920 NE 58TH AVE STE 900, PORTLAND, OR 97213"
"HD SUPPLY CONSTRUCTION LTD",106175,"WHSLE OF CONSTRUCTION SUPPLIES",444190,"OTHER BLDG MATERIAL DEALERS","BOND BREAKER-CONCRETE","AROMATIC HYDROCARBON","500-999","1,000-4,999","STEEL DRUM","Flammable and Combustible Liquid",1,"onsite_storage_106175","920 NE 58TH AVE STE 900, PORTLAND, OR 97213"
"HD SUPPLY CONSTRUCTION LTD",106175,"WHSLE OF CONSTRUCTION SUPPLIES",444190,"OTHER BLDG MATERIAL DEALERS","GREEN SCAPES ICE MELT","MAGNESIUM CHLORIDE","1,000-4,999","1,000-4,999","BAG","Acute Health Hazard",1,"onsite_storage_106175","920 NE 58TH AVE STE 900, PORTLAND, OR 97213"
"HD SUPPLY CONSTRUCTION LTD",106175,"WHSLE OF CONSTRUCTION SUPPLIES",444190,"OTHER BLDG MATERIAL DEALERS","WATER BASED CONCRETE CURE","ACRYLIC POLYMER","1,000-4,999","1,000-4,999","STEEL DRUM","Acute Health Hazard",1,"onsite_storage_106175","920 NE 58TH AVE STE 900, PORTLAND, OR 97213"
"HD SUPPLY CONSTRUCTION LTD",106175,"WHSLE OF CONSTRUCTION SUPPLIES",444190,"OTHER BLDG MATERIAL DEALERS","CONCRETE FORM RELEASE","NAPHTHENIC DISTILLATE MIXTURE","200-499","500-999","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard",1,"onsite_storage_106175","920 NE 58TH AVE STE 900, PORTLAND, OR 97213"
"52ND AVE HARDWARE & SUPPLY",36457,"RETAIL BUILDING SUPPLIES",444130,"HARDWARE STORES","CEMENT","PORTLAND CEMENT","1,000-4,999","1,000-4,999","BAG","Acute Health Hazard",1,"onsite_storage_36457","7100 SE 52ND AVE, PORTLAND, OR 97206"
"FERGUSON",68745,"PLUMBING & HEATING SUPPLY - WATERWORKS UTILITIES EQUIPMENT DISTRIBUTION",423720,"PLUMBING & HEATING EQP & SUPPLIES (HYDRONI","JET SET","CALCIUM SALTS-CEMENT","10,000-49,999","10,000-49,999","BAG","Chronic Health Hazard",1,"onsite_storage_68745","9129 N TYNDALL, PORTLAND, OR 97217"
"WASTE MANAGEMENT OF OREGON",33789,"LOCAL TRUCKING WITH STORAGE",484110,"GENERAL FREIGHT TRUCKING-LOCAL","FLOOR SWEEP","CLAY","200-499","5,000-9,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_33789","5330 NE SKYPORT WAY, PORTLAND, OR 97218"
"SSA MARINE",65241,"MARINE TERMINAL OPERATOR STEVEDORING",488320,"MARINE CARGO HANDLING","POTASH","POTASSIUM CHLORIDE","100,000,000-249,999,999","100,000,000-249,999,999","OTHER","Miscellaneous Hazardous Material",1,"onsite_storage_65241","15550 N LOMBARD TRM 5, PORTLAND, OR 97203"
"SEARS",84195,"PRODUCT REPAIR CENTER",811411,"HOME & GARDEN EQP REPAIR & MAINT","LAUNDRY DETERGENT","ETHANOL","500-999","500-999","PLASTIC BOTTLE, JUG, BUCKET","Combustible Material",1,"onsite_storage_84195","12402 NE MARX ST BLDG 3, PORTLAND, OR 97230"
"DEL MONTE FRESH PRODUCE NA INC",24812,"FRESH PRODUCE PROCESSING",311991,"PERISHABLE PREPARED FOOD MFG","FINESSE QF","SODIUM HYDROXIDE","500-999","10,000-49,999","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard",1,"onsite_storage_24812","9243 N RIVERGATE BLVD, PORTLAND, OR 97203"
"DEL MONTE FRESH PRODUCE NA INC",24812,"FRESH PRODUCE PROCESSING",311991,"PERISHABLE PREPARED FOOD MFG","SODIUM HYPOCHLORITE 10-20%","SODIUM HYPOCHLORITE","500-999","10,000-49,999","PLASTIC OR NON-METALLIC DRUM","Reactive Material",1,"onsite_storage_24812","9243 N RIVERGATE BLVD, PORTLAND, OR 97203"
"ABC FIRE EXTINGUISHER INC",24257,"SALES & SERVICE OF PORTABLE FIRE EXTINGUISHERS",423990,"OTHER MISC DURABLE GOODS WHSLE","ABC DRY CHEMICAL","MONOAMMONIUM PHOSPHATE","1,000-4,999","1,000-4,999","BOX","Acute Health Hazard",1,"onsite_storage_24257","3201 SE 50TH AVE, PORTLAND, OR 97206"
"BI-MART CORPORATION",81567,"RETAIL SALES - DEPARTMENT STORE",452112,"DISCOUNT DEPARTMENT STORES","CAT LITTER","CLINOPTILOLITE","1,000-4,999","1,000-4,999","PLASTIC BOTTLE, JUG, BUCKET","Chronic Health Hazard",1,"onsite_storage_81567","2800 NE HOGAN DR, GRESHAM, OR 97030"
"FOUR DECADES JEWELRY MFG",363,"JEWELRY MFG & REPAIR",339911,"JEWELRY (EXC COSTUME) MFG","SODIUM CYANIDE","SODIUM CYANIDE","0-4","5-9","FIBER DRUM","Poisonous Material",1,"onsite_storage_363","534 SW 3RD STE 602, PORTLAND, OR 97204"
